wavelength(nm),flux,flux_error
730.1382307204428,1.4926989034838782e-16,1.2294594459146369e-18
732.489510024621,1.4693409606152743e-16,1.3406270436059104e-18
734.8483612023618,1.4538250029822756e-16,1.389253383582209e-18
737.2148086375269,1.453505892774712e-16,1.2525958805689817e-18
739.5888767925018,1.459133765763134e-16,1.2157756501359832e-18
741.9705902084486,1.469489634324611e-16,1.3252844852351888e-18
744.3599735055601,1.4715438454593323e-16,1.3054877641424138e-18
746.7570513833131,1.465378422370021e-16,1.2046679578227848e-18
749.1618486207276,1.4519154523372856e-16,1.2368280234516834e-18
751.5743900766148,1.4395768536271896e-16,1.2929048961765985e-18
753.9947006898445,1.4331541675208634e-16,1.2304369656231628e-18
756.4228054795947,1.4278601388328246e-16,1.1832072260872728e-18
758.8587295456139,1.4252993658759431e-16,1.2377942421610316e-18
761.3024980684796,1.4213568693206954e-16,1.241211981889784e-18
763.7541363098593,1.410736753151019e-16,1.172799727164028e-18
766.2136696127708,1.4015598212909166e-16,1.1796339614610964e-18
768.6811234018448,1.3970868340734488e-16,1.2285706042502866e-18
771.1565231835872,1.3968654747419785e-16,1.196881358146767e-18
773.6398945466433,1.39932490520569e-16,1.1509427340004526e-18
776.1312631620617,1.400388372657936e-16,1.1883427015132353e-18
778.6306547835597,1.3943650868767604e-16,1.2140646025190305e-18
781.1380952477919,1.3833622255380018e-16,1.1664332088533337e-18
783.6536104746126,1.3659633664108293e-16,1.1444784401921565e-18
786.1772264673477,1.3529252216093485e-16,1.1930519148424743e-18
788.7089693130619,1.3446985481623793e-16,1.198710444858815e-18
791.2488651828285,1.3449818347747927e-16,1.1478768636809058e-18
793.796940332,1.348300595054279e-16,1.1405748397571108e-18
796.3532211004798,1.3516336749877204e-16,1.1761661787854948e-18
798.9177339129942,1.347392054847216e-16,1.1611079869606951e-18
801.4905052793655,1.3368088420035389e-16,1.115770431739824e-18
804.0715617947861,1.320654509392515e-16,1.1175624604382105e-18
806.6609301400936,1.308161972592559e-16,1.1423252539711018e-18
809.2586370820461,1.2984526857483518e-16,1.1246999040357106e-18
811.8647094735991,1.2938646038382882e-16,1.099437593447514e-18
814.479174254185,1.2867168990554756e-16,1.1073965937771079e-18
817.1020584499876,1.2838290403015401e-16,1.1194970276780015e-18
819.7333891742247,1.2754420174164842e-16,1.1025552727828198e-18
822.3731936274272,1.2632485322323859e-16,1.0990489974320386e-18
825.0214990977203,1.2540786520471302e-16,1.1200083400821838e-18
827.6783329611059,1.2475759023759156e-16,1.1121911548826555e-18
830.3437226817452,1.2452912629852787e-16,1.0842888131944948e-18
833.0176958122433,1.2465412993817925e-16,1.10095399422105e-18
835.7002799939329,1.2452280861903443e-16,1.1392167324296671e-18
838.391502957161,1.2446611869773073e-16,1.1285907972496686e-18
841.0913925215744,1.2339707071333113e-16,1.0832548783599103e-18
843.7999765964114,1.214503011773357e-16,1.0997989119782462e-18
846.5172831807809,1.2005553950668927e-16,1.1647453847348599e-18
849.243340363964,1.1855661785382627e-16,1.1590095373732964e-18
851.9781763256949,1.1756088204366122e-16,1.0969661413259731e-18
854.7218193364566,1.1705921042556518e-16,1.1081938225639142e-18
857.4742977577719,1.1662178601436395e-16,1.1957911517792265e-18
860.2356400424967,1.163245667702661e-16,1.2217553282794463e-18
863.0058747351146,1.1558866949864353e-16,1.1498954127036914e-18
865.7850304720312,1.1491734420683163e-16,1.1249038470104947e-18
868.5731359818707,1.1478076866340452e-16,1.2220296370517633e-18
871.3702200857726,1.1430570702279904e-16,1.285299951946639e-18
874.1763116976902,1.1431442822096256e-16,1.2259770957944288e-18
876.9914398246871,1.1520897122039384e-16,1.1601914341541447e-18
879.8156335672426,1.1628576217103742e-16,1.2312684832428286e-18
882.6489221195455,1.1643271380820332e-16,1.3363716146140272e-18
885.4913347698009,1.1628600491878208e-16,1.3252758880947107e-18
888.3429009005307,1.150138330111345e-16,1.2246866712135808e-18
891.2036499888779,1.136107219134952e-16,1.2289431336281515e-18
894.0736116069119,1.1221609469476269e-16,1.3540662893175078e-18
896.9528154219331,1.1117740730041157e-16,1.4137183455110737e-18
899.8412911967805,1.1116536466588946e-16,1.3430468823630452e-18
902.7390687901387,1.113755510273547e-16,1.2765267375430142e-18
905.6461781568472,1.1132393733405397e-16,1.3602515900327502e-18
908.5626493482092,1.1127553703042714e-16,1.4872304509973713e-18
911.4885125123033,1.106566002298874e-16,1.4885731700021205e-18
914.4237978942931,1.0923716793180298e-16,1.393562560556598e-18
917.3685358367445,1.0740484152639408e-16,1.3891880639552502e-18
920.3227567799333,1.0587328206913838e-16,1.5197632556942174e-18
923.2864912621637,1.0498724744732667e-16,1.6081728978892333e-18
926.2597699200829,1.0480209809041567e-16,1.5575662358082766e-18
929.2426234889981,1.0530999085294305e-16,1.4863335823434113e-18
932.235082803194,1.0607763445361352e-16,1.5596864317348686e-18
935.2371787962516,1.0692856520626884e-16,1.7134223997772133e-18
938.2489425013678,1.0710027380858946e-16,1.7597792877465897e-18
941.2704050516766,1.0629222733594824e-16,1.6782066662933369e-18
944.3015976805704,1.0509320274147629e-16,1.6518326230090175e-18
947.3425517220234,1.0319047829383528e-16,1.786083667875191e-18
950.3932986109152,1.0158486211550066e-16,1.9403702612797052e-18
953.4538698833546,1.0002358888026972e-16,1.9373552867268613e-18
956.52429717701,9.965206885472488e-17,1.8474778250310837e-18
959.6046122314301,9.960930315677406e-17,1.8743060216913952e-18
962.6948468883762,9.97303164213931e-17,2.074528427433801e-18
965.7950330921504,9.955921952328082e-17,2.231810720803261e-18
968.9052028899255,9.893531002093734e-17,2.201040808948112e-18
972.0253884320765,9.790316870473628e-17,2.1030739707450386e-18
975.1556219725129,9.661238841784862e-17,2.2012978554789563e-18
978.2959358690124,9.563090552473993e-17,2.4906017987410348e-18
981.4463625835548,9.519787533499829e-17,2.6772128177999923e-18
984.6069346826581,9.513088519196769e-17,2.6023067531829584e-18
